brand,image,name,new_price,old_price,rating
Prolink,"https://bd.daraz.io/hBHwRFgQjk8-OwVkDs7KVzAk9a0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/62/1285/1.jpg?6425",PHB6002E Bluetooth Stereo Headset - White,"2,460.00","2,730.00",0
Apple,"https://bd.daraz.io/o77myI2PySwsnfkmLVbhlCgSsAc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/26/4833/1.jpg?2456","Smartphone - iPhone 7 Plus - 5.5"" - 3GB RAM  256GB ROM - 12MP Camera - Silver","93,200.00","113,200.00",4
Prolink,"https://bd.daraz.io/HhgIWmFpsawIiVjXNp_EUk38a2g=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/52/1285/1.jpg?6384",PHB6002E Bluetooth Stereo Headset - Black,"2,460.00","2,730.00",1
Prolink,"https://bd.daraz.io/27N9RSodr2nagBpdl7e8Z-NxGbk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/32/1285/1.jpg?6345",PHG9001E Bluetooth Stereo Headset - Black,"2,810.00","3,120.00",0
Huawei,"https://bd.daraz.io/w8WBGjOg7BBeWvVHHtRNF6EMX3o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/67/4866/1.jpg?6683",AM-185 - Active Noise Canceling Earphone - Golden,"4,500.00","6,500.00",0
Xiaomi,"https://bd.daraz.io/qYO6DRZ8an7Ssygpyrcf0PE7ETA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/85/7935/1.jpg?2218",Mi Pocket Speaker 2- White - Global Version,"1,950.00","2,200.00",1
Huawei,"https://bd.daraz.io/d8K7N3DOg31gc0n56xatne0tKMo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/70/2752/1.jpg?3920",AM-12 In-Ear Bass Earphone - Rose Gold,"1,125.00","1,500.00",0
Samsung,"https://bd.daraz.io/LoOa6zPXBfNOKkB0Wug1pSaYYVM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/10/5932/1.jpg?7060",Galaxy J7 Pro Smartphone 5.5 - 3GB RAM  64GB ROM  Gold,"28,490.00","30,900.00",3
Smart Gadgets BD,"https://bd.daraz.io/a8kpmaoHWd9XiUsQ2bnYutDpgog=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/90/1031/1.jpg?2129",Soft TPU Case for iPhone 7 Plus - Transparent,89.00,135.00,2
Xiaomi,"https://bd.daraz.io/GlGDU-Pv4xebfB_lSujuQf5yoBQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/48/6752/1.jpg?3369",Redmi 4X Case Fashion Soft Silicone,111.00,169.00,6
